Informant,Response
NC45A,a little piece
NC45B,a little ways
NC45B,a little piece
NC45B,a little piece
NC46A,a little piece
NC46B,a little piece
NC46B,a little ways
NC46C!,a little ways
NC46C!,a little piece
NC47,a little ways
NC48,a little piece
NC48,a little piece
NC49,a little piece
NC50A,a little piece
NC50B!,a little ways
NC50B!,a little piece
NC51A,a little ways
NC51A,a little piece
NC51B,a little ways
NC51B,a little piece
NC52N,a little piece
NC52A,a little ways
NC52A,a little piece
NC52B,a little piece
NC52B,a little piece
NC52B,a little ways
NC53A,a little ways
NC53A,a little piece
NC53B,a little ways
NC53B,a little piece
NC54A,a little ways
NC54B,a little piece
NC54B,a little ways
NC55,a little piece
NC56A,a little piece
NC56B!,a little way
NC57A,a little piece
NC57A,a little ways
NC57B,a little ways
NC57B,a little piece
NC57B,a little piece
NC58A,a little piece
NC58A,a little ways
NC58B,a little piece
NC58B,a little ways
NC59,a little ways
NC60,a little ways
NC60,a little piece
NC61A,a little piece
NC61B,a little piece
NC61B,a little ways
NC62A,a little ways
NC62A,a little piece
NC62B,a little piece
NC62B,a little ways
NC63A,a little piece
NC63A,a little ways
NC63B,a little ways
NC63B,a little piece
NC64A,a little piece
NC64A,a little ways
NC64B,a little piece
NC64B,a little ways
NC65A,a little ways
NC65A,a little piece
NC65B,a little ways
NC66A,a little piece
NC66A,a little ways
NC66B,a little piece
NC66B,a little ways
NC67A,a little ways
NC67A,a little piece
NC67B,a little ways
NC68A,a little ways
NC68A,a little piece
NC68B,a little ways
NC68B,a little piece
NC69A,a little ways
NC69A,a little piece
NC69B,a little ways
NC70A,a little piece
NC70A,a little ways
NC70B,a little piece
NC70B,a little ways
NC71A,a little ways
NC71A,a little piece
NC71B,a little ways
NC71B,a little piece
NC71C!,a little ways
NC71C!,a little piece
NC72A,a little piece
NC72A,a little ways
NC72B,a little piece
NC72B,a little ways
NC73A,a little ways
NC73A,a little piece
NC73B,a little ways
NC74A,a little piece
NC74A,a little ways
NC74B,a little ways
NC74B,a little piece
NC75A,a little ways
NC75A,a little piece
NC75B,a little ways
NC75B,a little piece
SC1A,a little piece
SC1A,a little ways
SC1B,a little ways
SC1B,a little piece
SC2A,a little ways
SC2A,a little piece
SC2B,a little piece
SC2B,a little ways
SC2C,a little piece
SC2C,a little ways
SC3A,a little ways
SC3A,a little ways
SC3B,a little piece
SC3C!,a short ways
SC3C!,a piece
SC4A,a piece
SC4B,a little piece
SC4B,a piece
SC4C,a little piece
SC4C,a piece
SC5A,a short distance
SC5A,a piece
SC5A,a little ways
SC5A,a short ways
SC5C,a little ways off
SC5D!,a little ways
SC6N,a little distance
SC6A,a little ways
SC6B,a piece
SC6B,a piece
SC6B,a little ways
SC6B,a little ways
SC6C!,a little ways
SC7A,a little ways
SC7A,over yonder
SC7A,a little piece
SC7B,a short distance
SC7B,two looks and a holler
SC7B,a little ways
SC7B,a little piece
SC7C!,a piece
SC7D!,a short distance
SC7D!,a piece
SC7D!,a ways
SC8A,a little piece
SC8B,a little ways
SC8B,a little piece
